+-----+---------+--------------+-----------+----+----+-------+
|  #  | hold_id | placement_id | hold_role | x  | y  | count |
+-----+---------+--------------+-----------+----+----+-------+
|  1  |   1506  |     1220     |     13    | 29 | 17 |  2954 |
|  2  |   1275  |     1246     |     13    | 13 | 21 |  5250 |
|  3  |   1474  |     1253     |     13    | 27 | 21 |  5149 |
|  4  |   1331  |     1265     |     13    | 17 | 23 |  4433 |
|  5  |   1419  |     1268     |     13    | 23 | 23 |  7920 |
|  6  |   1531  |     1255     |     13    | 31 | 21 |  3367 |
|  7  |   1617  |     1258     |     13    | 37 | 21 |  1867 |
|  8  |   1509  |     1186     |     13    | 29 | 13 |  3292 |
|  9  |   1356  |     1198     |     13    | 19 | 15 |  7317 |
|  10 |   1363  |     1283     |     13    | 19 | 25 |  9461 |
|  11 |   1386  |     1284     |     13    | 21 | 25 | 10256 |
|  12 |   1323  |     1350     |     13    | 17 | 33 |  4745 |
|  13 |   1380  |     1352     |     13    | 21 | 33 |  8519 |
|  14 |   1416  |     1234     |     13    | 23 | 19 | 12162 |
|  15 |   1426  |     1353     |     13    | 23 | 33 | 11685 |
|  16 |   1299  |     1196     |     13    | 15 | 15 |  3258 |
|  17 |   1359  |     1232     |     13    | 19 | 19 |  5645 |
|  18 |   1303  |     1247     |     13    | 15 | 21 |  6808 |
|  19 |   1329  |     1282     |     13    | 17 | 25 |  4237 |
|  20 |   1383  |     1318     |     13    | 21 | 29 |  7402 |
|  21 |   1369  |     1351     |     13    | 19 | 33 |  5503 |
|  22 |   1365  |     1300     |     13    | 19 | 27 |  8788 |
|  23 |   1302  |     1230     |     13    | 15 | 19 |  7024 |
|  24 |   1505  |     1237     |     13    | 29 | 19 |  4900 |
|  25 |   1248  |     1262     |     13    | 11 | 23 |  2179 |
|  26 |   1559  |     1273     |     13    | 33 | 23 |  4641 |
|  27 |   1251  |     1296     |     13    | 11 | 27 |  2258 |
|  28 |   1382  |     1335     |     13    | 21 | 31 |  6710 |
|  29 |   1553  |     1341     |     13    | 33 | 31 |  3712 |
|  30 |   1312  |     1349     |     13    | 15 | 33 |  3465 |
|  31 |   1654  |     1361     |     13    | 39 | 33 |  1094 |
|  32 |   1436  |     1371     |     13    | 25 | 35 |  5822 |
|  33 |   1542  |     1391     |     13    | 31 | 37 |  1459 |
|  34 |   1508  |     1203     |     13    | 29 | 15 |  5598 |
|  35 |   1496  |     1339     |     13    | 29 | 31 |  8160 |
|  36 |   1447  |     1542     |     13    | 26 | 20 |  1231 |
|  37 |   1501  |     1561     |     13    | 30 | 24 |  472  |
|  38 |   1441  |     1578     |     13    | 26 | 28 |  1108 |
|  39 |   1337  |     1197     |     13    | 17 | 15 |  4758 |
|  40 |   1220  |     1227     |     13    | 9  | 19 |  1799 |
|  41 |   1391  |     1233     |     13    | 21 | 19 |  8703 |
|  42 |   1326  |     1316     |     13    | 17 | 29 |  3864 |
|  43 |   1211  |     1329     |     13    | 9  | 31 |  1464 |
|  44 |   1209  |     1346     |     13    | 9  | 33 |  852  |
|  45 |   1350  |     1130     |     13    | 19 | 7  |  325  |
|  46 |   1407  |     1132     |     13    | 23 | 7  |  413  |
|  47 |   1341  |     1146     |     13    | 17 | 9  |  526  |
|  48 |   1408  |     1149     |     13    | 23 | 9  |  1507 |
|  49 |   1410  |     1166     |     13    | 23 | 11 |  2037 |
|  50 |   1411  |     1183     |     13    | 23 | 13 |  2452 |
|  51 |   1180  |     1192     |     13    | 7  | 15 |  2257 |
|  52 |   1278  |     1212     |     13    | 13 | 17 |  4077 |
|  53 |   1471  |     1219     |     13    | 27 | 17 |  5016 |
|  54 |   1272  |     1280     |     13    | 13 | 25 |  3317 |
|  55 |   1192  |     1294     |     13    | 7  | 27 |  2859 |
|  56 |   1370  |     1368     |     13    | 19 | 35 |  3784 |
|  57 |   1257  |     1381     |     13    | 11 | 37 |  339  |
|  58 |   1599  |     1393     |     13    | 35 | 37 |  401  |
|  59 |   1357  |     1215     |     13    | 19 | 17 |  7664 |
|  60 |   1563  |     1222     |     13    | 33 | 17 |  3422 |
|  61 |   1306  |     1281     |     13    | 15 | 25 |  6686 |
|  62 |   1268  |     1331     |     13    | 13 | 31 |  5264 |
|  63 |   1468  |     1185     |     13    | 27 | 13 |  3120 |
|  64 |   1414  |     1217     |     13    | 23 | 17 |  2929 |
