+-----+---------+--------------+-----------+----+----+-------+
|  #  | hold_id | placement_id | hold_role | x  | y  | count |
+-----+---------+--------------+-----------+----+----+-------+
|  1  |   1467  |     1168     |     12    | 27 | 11 |  2233 |
|  2  |   1525  |     1187     |     12    | 31 | 13 |  1309 |
|  3  |   1465  |     1151     |     12    | 27 | 9  |  1260 |
|  4  |   1522  |     1153     |     12    | 31 | 9  |  3397 |
|  5  |   1521  |     1136     |     12    | 31 | 7  |  2858 |
|  6  |   1294  |     1145     |     12    | 15 | 9  |  2604 |
|  7  |   1353  |     1164     |     12    | 19 | 11 |  1914 |
|  8  |   1468  |     1185     |     12    | 27 | 13 |  1822 |
|  9  |   1356  |     1198     |     12    | 19 | 15 |  2388 |
|  10 |   1636  |     1157     |     12    | 39 | 9  |  2690 |
|  11 |   1582  |     1189     |     12    | 35 | 13 |  1099 |
|  12 |   1287  |     1110     |     12    | 13 | 5  |  342  |
|  13 |   1237  |     1143     |     12    | 11 | 9  |  3801 |
|  14 |   1227  |     1142     |     12    | 9  | 9  |  3772 |
|  15 |   1284  |     1144     |     12    | 13 | 9  |  2808 |
|  16 |   1568  |     1171     |     20    | 33 | 11 |  1519 |
|  17 |   1408  |     1149     |     12    | 23 | 9  |  7734 |
|  18 |   1623  |     1190     |     12    | 37 | 13 |  1038 |
|  19 |   1528  |     1221     |     12    | 31 | 17 |  849  |
|  20 |   1224  |     1176     |     12    | 9  | 13 |  1684 |
|  21 |   1338  |     1180     |     12    | 17 | 13 |  1795 |
|  22 |   1350  |     1130     |     12    | 19 | 7  |  1606 |
|  23 |   1395  |     1182     |     12    | 21 | 13 |  1321 |
|  24 |   1341  |     1146     |     12    | 17 | 9  |  1919 |
|  25 |   1239  |     1160     |     12    | 11 | 11 |  1187 |
|  26 |   1340  |     1163     |     12    | 17 | 11 |  5267 |
|  27 |   1458  |     1116     |     12    | 25 | 5  |  622  |
|  28 |   1407  |     1132     |     12    | 23 | 7  |  2072 |
|  29 |   1283  |     1161     |     12    | 13 | 11 |  2028 |
|  30 |   1297  |     1179     |     12    | 15 | 13 |  1635 |
|  31 |   1470  |     1202     |     12    | 27 | 15 |  1145 |
|  32 |   1180  |     1192     |     12    | 7  | 15 |  1755 |
|  33 |   1242  |     1194     |     12    | 11 | 15 |  591  |
|  34 |   1626  |     1156     |     12    | 37 | 9  |  1452 |
|  35 |   1527  |     1204     |     12    | 31 | 15 |  1072 |
|  36 |   1452  |     1184     |     12    | 25 | 13 |  1222 |
|  37 |   1509  |     1186     |     12    | 29 | 13 |  2601 |
|  38 |   1413  |     1200     |     12    | 23 | 15 |  2405 |
|  39 |   1400  |     1131     |     12    | 21 | 7  |  2183 |
|  40 |   1344  |     1112     |     12    | 17 | 5  |  700  |
|  41 |   1236  |     1126     |     12    | 11 | 7  |  1735 |
|  42 |   1414  |     1217     |     12    | 23 | 17 |  281  |
|  43 |   1355  |     1513     |     12    | 20 | 14 |  328  |
|  44 |   1401  |     1114     |     12    | 21 | 5  |  1816 |
|  45 |   1293  |     1128     |     12    | 15 | 7  |  3534 |
|  46 |   1462  |     1117     |     12    | 27 | 5  |  840  |
|  47 |   1286  |     1127     |     12    | 13 | 7  |  3422 |
|  48 |   1454  |     1167     |     12    | 25 | 11 |  1567 |
|  49 |   1455  |     1150     |     12    | 25 | 9  |  2015 |
