+-------+--------------------------------+----------------+-------+
|   #   | User Name                      | Boulder/routes |   %   |
+-------+--------------------------------+----------------+-------+
|   1   | forestfox98                    |      3562      | 1.321 |
|   2   | BKBChicago                     |      1678      | 0.622 |
|   3   | GirthQuake                     |      1038      | 0.385 |
|   4   | CodyAllenLittle                |      913       | 0.339 |
|   5   | KilterStudio                   |      862       | 0.320 |
|   6   | kilterjackie                   |      817       | 0.303 |
|   7   | climbcentral                   |      742       | 0.275 |
|   8   | jwilder                        |      731       | 0.271 |
|   9   | RappRocks                      |      695       | 0.258 |
|   10  | TheGravityWell                 |      691       | 0.256 |
|   11  | stone.gardens                  |      683       | 0.253 |
|   12  | bkbskilterboard                |      664       | 0.246 |
|   13  | RyanKing                       |      592       | 0.220 |
|   14  | jacobosullivan                 |      587       | 0.218 |
|   15  | longmont                       |      528       | 0.196 |
|   16  | ninjanatho                     |      526       | 0.195 |
|   17  | SaxonCasi                      |      510       | 0.189 |
|   18  | GW_Kilter                      |      471       | 0.175 |
|   19  | TufasBoulderLounge             |      463       | 0.172 |
|   20  | stateguest                     |      451       | 0.167 |
|   21  | briancarlson                   |      449       | 0.167 |
|   22  | wrightmicahc                   |      432       | 0.160 |
|   23  | tonykk                         |      426       | 0.158 |
|   24  | griffinwhiteside               |      421       | 0.156 |
|   25  | senderone                      |      421       | 0.156 |
|   26  | J8aG                           |      415       | 0.154 |
|   27  | dosallen                       |      401       | 0.149 |
|   28  | Cuckovich                      |      394       | 0.146 |
|   29  | tortesla                       |      386       | 0.143 |
|   30  | englewoodipad                  |      380       | 0.141 |
|   31  | JonThompson                    |      367       | 0.136 |
|   32  | ksmd                           |      357       | 0.132 |
|   33  | jwebxl                         |      355       | 0.132 |
|   34  | daxxta                         |      329       | 0.122 |
|   35  | Delire_PB                      |      325       | 0.121 |
|   36  | xiMaarten                      |      311       | 0.115 |
|   37  | krimdogbillionaire             |      307       | 0.114 |
|   38  | zealot                         |      300       | 0.111 |
|   39  | therealrockclimber             |      283       | 0.105 |
|   40  | RavioliTriceps                 |      275       | 0.102 |
|   41  | Necronomicon                   |      270       | 0.100 |
|   42  | GeoLar                         |      269       | 0.100 |
|   43  | steamboatclimbingcollective    |      267       | 0.099 |
|   44  | HugoChan                       |      263       | 0.098 |
|   45  | will_avelar                    |      259       | 0.096 |
|   46  | samuelguerrero                 |      258       | 0.096 |
|   47  | VoidAllyn                      |      255       | 0.095 |
|   48  | ddddunkin                      |      252       | 0.093 |
|   49  | johan.nystrom                  |      250       | 0.093 |
|   50  | JASD                           |      249       | 0.092 |
|   51  | chrislee                       |      246       | 0.091 |
|   52  | jakemcneely                    |      244       | 0.091 |
|   53  | juligris                       |      244       | 0.091 |
|   54  | PJP                            |      242       | 0.090 |
|   55  | Roca                           |      238       | 0.088 |
|   56  | dewaranch                      |      235       | 0.087 |
|   57  | joshuabrahams                  |      234       | 0.087 |
|   58  | auhemp                         |      232       | 0.086 |
|   59  | BigBoss                        |      220       | 0.082 |
|   60  | progressionclimbing            |      218       | 0.081 |
|   61  | finnlodders                    |      215       | 0.080 |
|   62  | wjracer                        |      210       | 0.078 |
|   63  | lachlan                        |      208       | 0.077 |
|   64  | LeMouv                         |      204       | 0.076 |
|   65  | vincentdohna                   |      204       | 0.076 |
|   66  | Nikolauk                       |      201       | 0.075 |
|   67  | boulderingshow                 |      199       | 0.074 |
|   68  | jameshurst                     |      199       | 0.074 |
|   69  | thijs                          |      196       | 0.073 |
|   70  | kennethsoltvedt                |      194       | 0.072 |
