+------+--------------------------------+-----------------+--------+
|  #   | User Name                      | Uploaded Videos |   %    |
+------+--------------------------------+-----------------+--------+
|  1   | None                           | 6580            | 23.053 |
|  2   | helter_skilter                 | 492             | 1.724  |
|  3   | kilterdojo                     | 435             | 1.524  |
|  4   | kilterboard                    | 422             | 1.478  |
|  5   | sabosboardaccount              | 347             | 1.216  |
|  6   | v8_tooeasy                     | 307             | 1.076  |
|  7   | board_spray                    | 272             | 0.953  |
|  8   | armstdong                      | 256             | 0.897  |
|  9   | set.by.ryanking                | 240             | 0.841  |
|  10  | avg.sloper                     | 204             | 0.715  |
|  11  | fluffythecat_board             | 192             | 0.673  |
|  12  | justinnclimbs                  | 186             | 0.652  |
|  13  | oriana.bras                    | 182             | 0.638  |
|  14  | spraybeta                      | 175             | 0.613  |
|  15  | rfreckaboard                   | 160             | 0.561  |
|  16  | boiz_meet_beta                 | 155             | 0.543  |
|  17  | climb_bucky                    | 149             | 0.522  |
|  18  | eric__board                    | 146             | 0.512  |
|  19  | raviolitriceps                 | 143             | 0.501  |
|  20  | rios_climbing                  | 134             | 0.469  |
|  21  | bigt_board                     | 133             | 0.466  |
|  22  | kilterbeans                    | 129             | 0.452  |
|  23  | loki_mojo_jojo                 | 127             | 0.445  |
|  24  | missmatchbeta                  | 123             | 0.431  |
|  25  | min_minsu_su                   | 119             | 0.417  |
|  26  | astro_climbing                 | 114             | 0.399  |
|  27  | chicago_skyline_45             | 114             | 0.399  |
|  28  | shackonekbhw                   | 111             | 0.389  |
|  29  | but.sends                      | 110             | 0.385  |
|  30  | kilterpouya                    | 109             | 0.382  |
|  31  | boognish_knishes               | 106             | 0.371  |
|  32  | jongweoni_                     | 93              | 0.326  |
|  33  | megos_board_account            | 92              | 0.322  |
|  34  | saboskilter                    | 92              | 0.322  |
|  35  | wanini_the_climb               | 91              | 0.319  |
|  36  | jkphoenix0                     | 84              | 0.294  |
|  37  | loki_taka                      | 83              | 0.291  |
|  38  | bucky_sparrow_                 | 82              | 0.287  |
|  39  | kanatanaka226                  | 82              | 0.287  |
|  40  | climbsyndrome74                | 80              | 0.280  |
|  41  | mayanswall                     | 80              | 0.280  |
|  42  | gabri_board_account            | 78              | 0.273  |
|  43  | boulderbzan                    | 74              | 0.259  |
|  44  | yoheikoguchi                   | 73              | 0.256  |
|  45  | dwar_climbs                    | 72              | 0.252  |
|  46  | hangbored                      | 72              | 0.252  |
|  47  | kilter_quino                   | 72              | 0.252  |
|  48  | emilienicole8                  | 70              | 0.245  |
|  49  | board_maarten                  | 69              | 0.242  |
|  50  | etrockz2                       | 67              | 0.235  |
|  51  | hyeoney_badger                 | 65              | 0.228  |
|  52  | etrockz                        | 62              | 0.217  |
|  53  | kevin_kilter                   | 61              | 0.214  |
|  54  | peeyusboards                   | 61              | 0.214  |
|  55  | austinclimbingboards           | 60              | 0.210  |
|  56  | berlin_kilterboard_crew        | 60              | 0.210  |
|  57  | kippbrett.mafia                | 59              | 0.207  |
|  58  | ih.climbs                      | 58              | 0.203  |
|  59  | shortykilter                   | 58              | 0.203  |
|  60  | hilterkilter                   | 56              | 0.196  |
|  61  | viv_on_kilter                  | 56              | 0.196  |
|  62  | fueledbyjapchae                | 55              | 0.193  |
